iter	Passed	Remaining
0	205	20356
1	232	11399
2	260	8423
3	282	6784
4	304	5789
5	314	4922
6	327	4348
7	336	3870
8	353	3572
9	373	3363
10	382	3092
11	395	2903
12	401	2688
13	411	2526
14	430	2440
15	442	2321
16	450	2197
17	457	2085
18	469	2003
19	481	1925
20	494	1859
21	502	1782
22	513	1717
23	524	1661
24	535	1607
25	545	1553
26	553	1497
27	565	1453
28	573	1405
29	587	1369
30	594	1322
31	602	1280
32	617	1254
33	625	1214
34	635	1179
35	647	1151
36	656	1117
37	666	1088
38	674	1055
39	684	1027
40	693	997
41	702	969
42	712	944
43	720	916
44	729	891
45	739	868
46	745	840
47	754	817
48	771	802
49	782	782
50	790	759
51	799	738
52	809	718
53	817	696
54	826	676
55	837	657
56	846	638
57	859	622
58	868	603
59	882	588
60	891	570
61	903	553
62	913	536
63	924	519
64	934	503
65	952	490
66	963	474
67	977	459
68	987	443
69	997	427
70	1010	412
71	1020	396
72	1033	382
73	1047	367
74	1071	357
75	1092	344
76	1108	331
77	1125	317
78	1137	302
79	1150	287
80	1159	272
81	1173	257
82	1189	243
83	1206	229
84	1221	215
85	1236	201
86	1251	187
87	1264	172
88	1280	158
89	1289	143
90	1301	128
91	1310	113
92	1322	99
93	1330	84
94	1338	70
95	1349	56
96	1357	41
97	1365	27
98	1374	13
99	1383	0
